City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,cayenne,4.93,-52.33,82.4,74,75,13.87,GF,1582486373
88,road town,18.42,-64.62,82.4,65,20,6.93,VG,1582486370
89,bull savanna,17.89,-77.59,70.29,92,100,0.38,JM,1582486374
90,college,64.86,-147.8,-2.99,75,1,1.43,US,1582486374
91,yumen,40.28,97.2,27.39,48,33,14.92,CN,1582486374
92,akureyri,65.68,-18.09,15.75,87,29,11.97,IS,1582486374
93,belfast,54.58,-5.93,41.0,77,99,9.17,GB,1582486249
94,airai,-8.93,125.41,66.85,83,0,4.5,TL,1582486375
95,coquimbo,-29.95,-71.34,68.0,64,9,12.75,CL,1582486375
96,lashio,22.93,97.75,56.1,88,1,2.46,MM,1582486375
97,menongue,-14.66,17.69,64.71,98,100,3.78,AO,1582486375
98,flinders,-34.58,150.86,68.0,82,12,6.93,AU,1582486361
99,burkburnett,34.1,-98.57,57.0,81,90,19.46,US,1582486375
100,fortuna,40.6,-124.16,55.99,76,90,5.19,US,1582486375
101,qurayyat,31.33,37.34,57.2,35,52,2.24,SA,1582486114
102,tautira,-17.73,-149.15,84.2,70,20,4.7,PF,1582486376
103,yellowknife,62.46,-114.35,-6.0,69,40,6.93,CA,1582486376
104,kruisfontein,-34.0,24.73,56.64,78,0,5.82,ZA,1582486376
105,kashan,33.98,51.44,53.89,49,5,0.78,IR,1582486376
106,nacala,-14.54,40.67,77.38,96,100,6.33,MZ,1582486376
107,bani,18.28,-70.33,82.4,74,75,11.41,DO,1582486201
108,belmonte,-15.86,-38.88,87.8,78,75,9.17,BR,1582486377
109,bambanglipuro,-7.95,110.28,75.24,86,0,2.82,ID,1582486377
110,carnarvon,-24.87,113.63,73.4,83,0,5.82,AU,1582486377
111,raduzhnyy,62.1,77.47,19.08,92,100,9.37,RU,1582486377
112,harper,4.38,-7.72,78.96,92,100,4.18,LR,1582486377
113,siva,29.2,25.52,52.59,60,7,8.41,EG,1582486377
114,bud,39.45,-86.18,54.0,46,1,9.17,US,1582486377
115,thompson,55.74,-97.86,15.8,66,90,9.17,CA,1582486182
116,hofn,64.25,-15.21,38.23,66,89,21.09,IS,1582486377
117,kodiak,57.79,-152.41,21.2,34,1,25.28,US,1582486378
118,lodja,-3.48,23.43,72.14,97,100,2.46,CD,1582486378
119,dikson,73.51,80.55,30.27,95,100,27.36,RU,1582486184
120,kutum,14.2,24.67,59.76,22,0,7.29,SD,1582486378
121,bengkulu,-3.8,102.27,73.74,90,1,4.5,ID,1582486378
122,hobyo,5.35,48.53,77.5,74,77,16.67,SO,1582486378
123,grand gaube,-20.01,57.66,77.0,88,75,4.7,MU,1582486378
124,glendive,47.11,-104.71,39.99,44,40,3.36,US,1582486378
125,proddatur,14.73,78.55,68.58,90,84,3.87,IN,1582486378
126,castro,-24.79,-50.01,69.13,71,96,3.76,BR,1582486379
127,nanortalik,60.14,-45.24,27.61,83,100,4.7,GL,1582486379
128,elizabeth city,36.29,-76.25,64.4,36,1,4.7,US,1582486379
129,plettenberg bay,-34.05,23.37,61.63,77,1,6.44,ZA,1582486379
130,sur,22.57,59.53,70.32,66,0,3.78,OM,1582486379
131,vilyuysk,63.76,121.62,-13.02,98,69,3.89,RU,1582486379
132,provideniya,64.38,-173.3,-6.61,68,0,2.28,RU,1582486379
133,kahului,20.89,-156.47,75.2,64,20,7.05,US,1582486309
134,saint anthony,45.02,-93.22,44.6,52,1,13.87,US,1582486380
135,grindavik,63.84,-22.43,33.8,64,75,21.92,IS,1582486175
136,kulhudhuffushi,6.62,73.07,81.81,77,100,11.54,MV,1582486380
137,qaanaaq,77.48,-69.36,-19.98,67,0,6.8,GL,1582486380
138,beringovskiy,63.05,179.32,-12.71,86,0,2.89,RU,1582486380
139,mar del plata,-38.0,-57.56,82.0,53,40,11.41,AR,1582486308
140,alugan,12.22,125.48,78.31,85,1,14.81,PH,1582486381
